"Nome do Município","Coordenada"
"Belo Vale","[-20.4375747,-44.0579882]"
"Betim","[-19.9673078,-44.2011904]"
"Bonfim","[-20.3142689,-44.20997910000001]"
"Brumadinho","[-20.1514752,-44.2010719]"
"Cachoeira da Prata","[-19.5235616,-44.4563046]"
"Caetanópolis","[-19.3323588,44.4181786]"
"Casa Grande","[-20.8380202,-43.92460090000001]"
"Congonhas","[-20.4993469,-43.8613566]"
"Conselheiro Lafaiete","[-20.6639305,43.7850227]"
"Contagem","[-19.9161508,-44.0808763]"
"Cristiano Otoni","[-20.8249342,-43.8124157]"
"Crucilândia","[-20.4034268,-44.3425754]"
"Curvelo","[-18.753199,-44.4306685]"
"Desterro de Entre Rios","[-20.6604014,-44.3327715]"
"Entre Rios de Minas","[-20.7387451,-44.0579882]"
"Esmeraldas","[-19.7656001,-44.2857937]"
"Felixlândia","[-18.7135827,-44.92533539999999]"
"Florestal","[-19.8680623,-44.4370606]"
"Fortuna de Minas","[-19.562964,-44.4480709]"
"Ibirité","[-20.0256695,-44.0572964]"
"Igarapé","[-20.0711891,-44.2999506]"
"Inhaúma","[-19.4903208,-44.3938098]"
"Itatiaiuçu","[-20.2174463,-44.455935]"
"Itaúna","[-20.0446857,-44.5878439]"
"Itaverava","[-20.6707092,-43.6183335]"
"Jeceaba","[-20.537708,-44.03895540000001]"
"Juatuba","[-19.9433129,-44.34137459999999]"
"Lagoa Dourada","[-20.8894314,-44.0579882]"
"Maravilhas","[-19.5081043,-44.6782933]"
"Mario Campos","[-20.0698627,-44.1815176]"
"Mateus Leme","[-20.017643,-44.4370606]"
"Moeda","[-20.3314696,-44.0539299]"
"Ouro Branco","[-9.1622013,-37.3587137]"
"Ouro Preto","[-20.3855743,-43.5035777]"
"Papagaios","[-19.3501941,-44.6630541]"
"Pará de Minas","[-19.8600249,-44.60758389999999]"
"Paraopeba","[-19.2784382,-44.4062327]"
"Pequi","[-19.5980091,-44.6442629]"
"Piedade dos Gerais","[-20.4704064,-44.22428619999999]"
"Pompéu","[-19.2236338,-45.0056798]"
"Queluzito","[-20.7370051,-43.8864226]"
"Resende Costa","[-20.8158114,-44.2857937]"
"Rio Manso","[-20.2670203,-44.3074982]"
"São Brás do Suaçuí","[-20.6372767,-43.9627492]"
"São Joaquim de Bicas","[-20.0648255,-44.2573774]"
"São José da Varginha","[-19.6960606,-44.5690225]"
"Sarzedo","[-20.0371483,-44.14501509999999]"
"Sete Lagoas","[-19.45738,-44.2416695]"
