"Nome do Município","IDH 2010","IDHM Renda 2010","IDHM Longevidade 2010","IDHM Educação 2010"
"Belo Vale","0.655","0.672","0.814","0.514"
"Betim","0.749","0.709","0.864","0.687"
"Bonfim","0.637","0.669","0.834","0.464"
"Brumadinho","0.747","0.761","0.857","0.639"
"Cachoeira da Prata","0.741","0.689","0.834","0.707"
"Caetanópolis","0.706","0.674","0.845" ,"0.617"
"Casa Grande","0.652","0.608","0.823","0.555"
"Congonhas","0.753","0.732","0.877","0.665"
"Conselheiro Lafaiete","0.761","0.736","0.860","0.697"
"Contagem","0.756","0.745","0.832","0.697"
"Cristiano Otoni","0.695","0.651","0.823","0.626"
"Crucilândia","0.651","0.653","0.816","0.518"
"Curvelo","0,713","0.689","0.851","0.617"
"Desterro de Entre Rios","0.639","0.607","0.802","0.536"
"Entre Rios de Minas","0.672","0.673","0.802","0.563"
"Esmeraldas","0.671","0.649","0.822","0.567"
"Felixlândia","0.648","0.651","0.815","0.514"
"Florestal","0.724","0.728","0.845","0.617"
"Fortuna de Minas","0.696","0.651","0.845","0.613"
"Ibirité","0.704","0.673","0.840","0.616"
"Igarapé","0.698","0.686","0.844","0.588"
"Inhaúma","0.702","0.657","0.845","0.624"
"Itatiaiuçu","0.677","0.661","0.833","0.563"
"Itaúna", "0.758","0.749","0.850","0.685"
"Itaverava","0.627","0.613","0.811","0.496"
"Jeceaba","0.661","0.629","0.844","0.544"
"Juatuba","0.717","0.670","0.849","0.649"
"Lagoa Dourada","0.676","0.672","0.828","0.554"
"Maravilhas","0.672","0.645","0.845","0.558"
"Mario Campos","0.699","0.680","0.833","0.604"
"Mateus Leme", "0.704","0.688","0.839","0.604"
"Moeda","0.638","0.657","0.800","0.494"
"Ouro Branco", "0.764","0.753","0.872","0.680"
"Ouro Preto","0.741","0.721","0.834","0.677"
"Papagaios","0.666","0.650","0.833","0.545"
"Pará de Minas","0.725","0.715","0.848",0.628"
"Paraopeba","0.694","0.674","0.793","0.625"
"Pequi","0.674","0.672","0.808","0.564"
"Piedade dos Gerais","0.626","0.645","0.840","0.453"
"Pompéu","0.689","0.694","0.834","0.564"
"Queluzito","0.682","0.669","0.823","0.575"
"Resende Costa","0.685","0.689","0.823","0.568"
"Rio Manso", "0.648","0.676","0.802","0.501"
"São Brás do Suaçuí","0.664","0.675","0.801","0.541"
"São Joaquim de Bicas","0.662","0.664","0.844","0.518"
"São José da Varginha","0.704","0.682","0.857","0.597"
"Sarzedo","0.734","0.706","0.871","0.643"
"Sete Lagoas","0.760","0.742","0.840","0.705"
