"Nome do Município","Agropecuaria","Industria","Serviços"
"Belo Vale","17.362","63.197","51.778"
"Betim","24.273","63.197","172"
"Bonfim","12.977","11.537.468","9.924.629"
"Brumadinho","14.592","9.781","41.414"
"Cachoeira da Prata","22.008","1.041.468","982.042"
"Caetanópolis","1.294","2.273","18.942"
"Casa Grande","26.055","79.153","95.423"
"Congonhas","20.003","1.636","11.431"
"Conselheiro Lafaiete","2.398","703.465"
"Contagem","11.946","684.216","1.426.466"
"Cristiano Otoni","2.102","330.248","15.975.976"
"Crucilândia","7.609","6.425.590","25.847"
"Curvelo","197.766","10.095","873.637"
"Desterro de Entre Rios","13.268","245.263","60.032"
"Entre Rios de Minas","14.816","78.196","104.569"
"Esmeraldas","24.967","27.081","312.535"
"Felixlândia","42.075","62.325","83.218"
"Florestal","9.183","9.265","56.492"
"Fortuna de Minas","6.239","12.648","11.726"
"Ibirité","1.875","2.742","853.103"
"Igarapé","59.845","717.402","337.682"
"Inhaúma","11.589","127.311","38.483"
"Itatiaiuçu","22.628","21.31","417.784"
"Itaúna","27.002","1.177.398","172"
"Itaverava","5.221","1.120.059","19.083"
"Jeceaba","6.867","5.187","273.128"
"Juatuba","2.543","714.332","397.063"
"Lagoa Dourada","72.417","551.402","110.563"
"Maravilhas","12.252","11.372","53.713"
"Mario Campos","10.688","45.646","72.092"
"Mateus Leme","17.239","12.986","271.161"
"Moeda","2.377","186.986","29.847"
"Ouro Branco","5.337","4.773","994.009"
"Ouro Preto","24.273","2.169.067","172"
"Papagaios","19.785","63.197","105.886"
"Pará de Minas","92.811","53.085","1.419.527"
"Paraopeba","31.846","787.977","469.805"
"Pequi","14.909","146.204","20.830"
"Piedade dos Gerais","12.785","3.132","19.938"
"Pompéu","131.289","3.201","342.896"
"Queluzito","6.358","142.024","9.325"
"Resende Costa","37.395","1.376","68.971"
"Rio Manso","11.638","16.184","48.136"
"São Brás do Suaçuí","2.061","6.836","29.146"
"São Joaquim de Bicas","32.808","3.257","195.228"
"São José da Varginha","42.102","131.969","19.132"
"Sarzedo","1.915","451.207","330.185"
"Sete Lagoas","22.871","3.158.204","3.814.395"
