"Nome do Município","PIB Agropecuária x1000","PIB Industria x1000","PIB Serviços (sem educação, defesa, educação e saúde publicas e seguridade social) x1000","PIB Serviços Educação, defesa, educação e saúde publicas e seguridade social x1000"
"Belo Vale","17362.02","63196.87","51778.48","49606.95"
"Betim","12976.86","11537467.51","9924628.62","2212076.62"
"Bonfim","14592.30","9781.09","41413.59","30739.05"
"Brumadinho","22007.82","1041129.44","982042.22","255485.76"
"Cachoeira da Prata","1294.14","2271.62","18942.03","19153.61"
"Caetanópolis","26054.67","79152.87","95422.69","50399.89"
"Casa Grande","20029.61","1635.76","11431.11","13530.95"
"Congonhas","2398.30","684215.51","703465.17","404577.87"
"Conselheiro Lafaiete","11945.93","330247.64","1426465.86","541500.57"
"Contagem","2101.56","6425590.04","15975976.33","2843742.32"
"Cristiano Otoni","13783.36","8932.67","60658.09","26057.31"
"Crucilândia","7609.04","10094.83","25846.62","24952.85"
"Curvelo","197766.36","245263.27","873636.92","328191.55"
"Desterro de Entre Rios","13268.42","78195.74","60032.12","31762.92"
"Entre Rios de Minas","14816.10","27080.90","104569.41","63304.99"
"Esmeraldas","24966.62","62324.83","312534.92","292797.10"
"Felixlândia","42074.58","9264.85","83218.09","69468.50"
"Florestal","9183.20","12648.37","56491.56","35269.13"
"Fortuna de Minas","6238.78","2742.29","11725.76","17854.02"
"Ibirité","1874.91","717401.86","853103.13","745977.32"
"Igarapé","59844.69","127310.83","337682.29","184678.46"
"Inhaúma","11589.42","21309.98","38482.51","32341.54"
"Itatiaiuçu","22627.92","1177397.86","417784.29","64727.35"
"Itaúna","27002.20","1120059.46","1387363.70","427749.22"
"Itaverava","5221.36","5187.09","19082.79","25303.01"
"Jeceaba","6867.36","714331.58","273127.99","54430.85"
"Juatuba","2542.75","551402.21","397063.35","150920.20"
"Lagoa Dourada","72416.57","11371.79","110562.70","57638.26"
"Maravilhas","12251.75","45646.10","53713.15","34788.08"
"Mario Campos","10688.34","12967.78","72091.56","63769.01"
"Mateus Lemes","17238.51","186986.26","271161.43","138383.48"
"Moeda","2376.52","4772.52","29846.85","23789.35"
"Ouro Branco","5337.28","2169067.21","994009.19","186023.38"
"Ouro Preto","20012.45","1230840.29","1242294.23","399697.67"
"Papagaios","19785.24","53084.59","105885.55","65733.11"
"Pará de Minas","92811.06","787977.37","1419526.71","400211.59"
"Paraopeba","31846.20","146204.03","469804.51","108943.56"
"Pequi","14908.96","3131.91","20830.09","21790.49"
"Piedade dos Gerais","12784.88","3201.44","19937.79","25287.12"
"Pompéu","131288.51","142023.78","342895.54","139037.89"
"Queluzito","6358.33","1376.31","9325.27","13954.79"
"Resende Costa","37394.95","16183.55","68970.65","48237.00"
"Rio Manso","11637.57","6836.39","48135.83","26822.04"
"São Brás do Suaçuí","2061.35","3257.50","29145.87","24920.81"
"São Joaquim de Bicas","32808.45","131969.14","195228.06","144207.97"
"São José da Varginha","42101.93","2879.03","19131.77","24640.03"
"Sarzedo","1915.14","451206.83","330184.95","163717.18"
"Sete Lagoas","22871.38","3158203.18","3814395.07","1109222.91"
