"Nome do Municipio","APP","Altitude Superior 1800","Consolidada","Declividade Maior 45","Imoveis","Pousio","Topo de Morro","Banhado","Borda Chapada","Hidrografia","Manguezal","Nascentes","Reserva Legal","Restinga","Servidão Administrativa","Restrito","Vegetação Nativa","Vereda"
"Belo Vale","4489","0","844","3","1055","47","2","3","0","948","0","412","859","0","99","0","904","24"
"Betim","2664","0","446","2","741","9","1","3","0","436","0","247","586","0","57","3","637","4"
"Bonfim","6133","0","1749","1","2064","41","1","0","0","1291","0","383","1650","0","413","29","1507","30"
"Brumadinho","7419","0","787","15","1177","44","8","1","0","965","0","726","1025","1","191","23","949","31"
"Cachoeira da Prata","330","0","67","0","61","1","0","1","0","61","0","28","86","0","12","0","113","0"
"Caetanopolis","531","0","170","0","239","0","0","0","0","166","0","9","235","0","38","0","248","2"
"Casa Grande","3617","0","696","14","585","11","0","25","5","704","0","326","776","0","117","30","692","5"
"Congonhas","2751","0","317","2","554","21","1","12","0","433","0","336","446","0","129","13","410","4"
"Conselheiro Lafaiete","5394","0","999","5","1012","29","0","60","0","1055","0","474","1130","0","104","5","1087","10"
"Contagem","625","0","220","5","491","7","2","1","0","159","0","29","363","0","42","4","278","0"
"Cristiano Otoni","2705","0","331","2","362","6","1","16","0","421","0","226","402","0","93","5","356","42"
"Crucilândia","4735","0","1013","1","1074","11","0","0","0","924","0","347","1261","0","240","327","1162","3"
"Curvelo","8421","0","1760","1","2002","62","2","2","0","1431","1","231","1908","58","228","8","1799","21"
"Desterro de Entre Rios","8224","0","1491","2","1506","47","3","3","1","1419","0","737","1569","0","263","92","1723","23"
"Entre Rios de Minas","10266","0","1503","4","1533","97","2","12","0","1616","0","982","1601","0","300","54","1559","3"
"Esmeraldas","8327","0","1523","0","1925","41","17","30","0","1489","0","358","1742","0","336","23","1759","10"
"Felixlândia","3956","1","882","5","890","49","11","5","2","630","0","69","1070","2","95","16","943","41"
"Florestal","2302","0","487","3","564","8","0","1","0","517","0","115","533","0","45","8","597","0"
"Fortuna de Minas","1143","0","210","0","235","11","1","0","0","244","0","44","213","0","21","2","307","0"
"Ibirité","262","0","49","0","65","2","0","0","0","34","0","28","43","0","25","3","47","0"
"Igarapé","1057","0","266","2","333","2","1","0","0","255","0","112","295","0","49","1","256","1"
"Inhaúma","1488","0","264","0","286","8","2","3","0","260","0","30","300","0","53","4","355","3"
"Itatiaiuçu","3850","0","845","0","1071","18","1","0","0","669","0","259","1125","0","184","4","917","4"
"Itaúna","5460","0","1734","5","1911","26","6","3","0","1354","0","310","2039","0","285","41","1903","3"
"Itaverava","4548","0","919","0","878","20","0","8","0","807","0","439","901","0","174","9","908","0"
"Jeceaba","5067","0","912","2","942","25","0","3","0","902","0","500","884","0","313","4","906","1"
"Juatuba","533","0","81","0","158","8","1","0","0","100","0","40","86","0","6","1","75","0"
"Lagoa Dourada","7159","0","1459","15","1522","81","1","1","0","1412","0","524","1789","0","369","333","1737","0"
"Maravilhas","1532","0","275","0","366","17","5","0","0","306","0","48","324","1","73","3","321","3"
"Mario Campos","321","0","95","0","127","3","0","0","0","78","0","16","100","0","32","1","102","0"
"Mateus Lemes","2503","0","684","10","972","25","13","2","0","617","0","126","588","0","78","6","677","1"
"Moeda","2308","0","370","3","801","150","0","0","0","558","0","183","439","0","184","2","624","1"
"Ouro Branco","4652","0","376","4","458","29","3","0","0","346","0","521","432","0","66","4","394","2"
"Ouro Preto","9458","0","1080","17","1241","25","27","2","0","1063","0","1232","1198","0","199","50","1161","3"
"Papagaios","821","0","189","1","437","4","0","1","0","243","0","5","326","0","11","1","266","7"
"Pará de Minas","6765","0","1611","2","1671","36","4","0","0","1452","0","313","1546","0","151","11","1701","0"
"Paraopeba","2738","0","518","4","637","10","1","1","0","578","0","68","710","1","84","36","744","4"
"Pequi","1847","0","341","1","347","18","0","0","0","384","0","102","339","0","49","1","378","0"
"Piedade dos Gerais","4361","0","824","0","1302","26","2","0","0","960","0","422","1251","0","347","43","838","4"
"Pompéu","5250","0","1025","1","1494","3","3","2","1","1026","0","102","1272","0","34","3","1471","24"
"Queluzito","3659","0","612","10","555","15","0","30","2","668","0","339","668","0","77","7","689","11"
"Resende Costa","15142","0","2235","6","1864","22","5","14","0","2069","0","1544","2540","0","628","47","2837","6"
"Rio Manso","4528","0","1006","3","1194","78","6","0","0","1014","0","278","1138","0","192","44","1031","31"
"São Brás do Suaçuí","1859","0","283","1","309","18","0","3","0","319","0","166","307","0","65","4","285","1"
"São Joaquim de Bicas","617","0","144","0","194","4","1","0","0","165","0","28","192","0","24","1","166","1"
"São José da Varginha","2411","0","457","0","461","10","1","1","0","508","0","113","486","0","37","0","505","0"
"Sarzedo","545","0","61","2","87","0","1","0","0","60","0","39","57","0","10","1","73","0"
"Sete Lagoas","2583","0","694","2","736","24","3","1","0","557","0","76","652","0","139","3","682","3"
