"Nome do Municipio","APP","Altitude Superior 1800","Consolidada","Declividade Maior 45","Imoveis","Pousio","Topo de Morro","Banhado","Borda Chapada","Hidrografia","Manguezal","Nascentes","Reserva Legal","Restinga","Servidão Administrativa","Restrito","Vegetação Nativa","Vereda","População estimada(2021)","População último censo(2010)","Densidade demografica(2010)","Salario medio mensal(2019)","Pessoal ocupado(2019)","Populacao ocupada(2019)","Percentual da populacao com renda de ate meio salario(2010)","Taxa escolarizacao 6 a 14 anos(2010)","IDEB anos iniciais ensino fundamental(2019)","IDEB anos finais ensino fundamental(2019)","Matriculas ensino fundamental(2020)","Matriculas ensino medio(2020)","Docentes ensino fundamental(2020)","Docentes ensino medio(2020)","Numeros estabelecimentos ensino fundamental(2010)","Numeros estabelecimentos ensino medio(2020)","PIB per capita(2019)","Percentual receitas fontes externas(2015)","IDHM(2010)","Total receitas realizadas(2017)","Total receitas empenhadas(2017)","Mortalidade infantil(2019)","Internacoes por diarreia(2016)","Estabelecimentos SUS(2009)","Area territorial(2021)","Esgotamento adequado(2010)","Arborização vias publicas(2010)","Urbanizacao vias publicas(2010)","Bioma"
"Belo Vale","4489","0","844","3","1055","47","2","3","0","948","0","412","859","0","99","0","904","24","7723","7536","20.59","1.8","1247","16.2","38.5","97.1","6.3","","932","250","68","18","10","1","24361.53","","0.655","45642.25","32123.19","10.75","0.8","5","365.923","48.2","67.7","27.8","Mata Atlântica"
"Betim","2664","0","446","2","741","9","1","3","0","436","0","247","586","0","57","3","637","4","450024","378089","1102.80","3.2","118718","27.0","33.7","98","6.1","5.1","54296","15721","2812","958","118","37","63882.75","71","0.749","1775733.39","1363402.09","13.06","0.1","73","343.884","86","74.3","33.4","Cerrado e Mata Atlântica"
"Bonfim","6133","0","1749","1","2064","41","1","0","0","1291","0","383","1650","0","413","29","1507","30","6852","6818","22.59","1.6","770","11.2","36.8","98.5","5.6","5.1","674","229","44","19","4","1","14898.51","83","0.637","19095.87","19887.69","","","4","301.865","38.5","40.9","9.4","Mata Atlântica"
"Brumadinho","7419","0","787","15","1177","44","8","1","0","965","0","726","1025","1","191","23","949","31","41208","33973","53.13","2.2","12330","30.7","33.5","98.4","6.7","5.3","4633","1200","268","88","18","5","62744.25","","0.747","175543.55","165401.05","17.2","0.3","27","639.434","65.4","59.3","19.5","Mata Atlântica"
"Cachoeira da Prata","330","0","67","0","61","1","0","1","0","61","0","28","86","0","12","0","113","0","3580","3654","59.53","1.6","632","17.5","31.2","98.1","6.2","4.5","409","157","22","17","1","1","12974.72","","0.741","15260.12","12455.95","25","","2","61.381","92.6","28.6","7.2","Cerrado"
"Caetanopolis","531","0","170","0","239","0","0","0","0","166","0","9","235","0","38","0","248","2","11869","10218","65.48","1.6","2385","20.5","32.7","98.1","6.8","4.8","1323","351","67","33","5","2","23595.81","87.6","0.706","24011.81","22188.82","","4","5","156.039","70.8","88.6","26.8","Cerrado"
"Casa Grande","3617","0","696","14","585","11","0","25","5","704","0","326","776","0","117","30","692","5","2251","2244","14.23","1.6","326","14.4","40.7","96.3","6.3","5.0","228","104","22","11","3","1","21231.85","95.1","0.652","13260.00","11620.03","","1.7","1","157.727","63.8","48","8.2","Mata Atlântica"
"Congonhas","2751","0","317","2","554","21","1","12","0","433","0","336","446","0","129","13","410","4","55836","48519","159.57","3.0","18029","32.9","34.7","99.1","6.5","4.9","6916","2045","432","176","37","6","36277.13","66.9","0.753","385952.67","343925.24","8.68","0.4","30","304.067","78.5","39.4","43.9","Mata Atlântica"
"Conselheiro Lafaiete","5394","0","999","5","1012","29","0","60","0","1055","0","474","1130","0","104","5","1087","10","130584","116512","314.69","1.9","25258","19.6","33.2","98.7","6.8","5.1","15192","3951","933","387","61","23","19512.70","","0.761","224293.93","211192.19","11.59","2.3","55","370.246","90.1","33.9","39","Mata Atlântica"
"Contagem","625","0","220","5","491","7","2","1","0","159","0","29","363","0","42","4","278","0","673849","603442","3090.33","2.4","212819","32.1","30.5","97.4","6.0","4.7","70893","20760","3811","1407","176","66","45855.10","57.7","0.756","1712721.98","1632664.77","10.42","0.2","170","194.746","92.2","68.3","39","Cerrado e Mata Atlântica"
