"Ano","Código da Grande Região","Nome da Grande Região","Código da Unidade da Federação","Sigla da Unidade da Federação","Nome da Unidade da Federação","Código do Município","Nome do Município","Região Metropolitana","Código da Mesorregião","Nome da Mesorregião","Código da Microrregião","Nome da Microrregião","Código da Região Geográfica Imediata","Nome da Região Geográfica Imediata","Município da Região Geográfica Imediata","Código da Região Geográfica Intermediária","Nome da Região Geográfica Intermediária","Município da Região Geográfica Intermediária","Código Concentração Urbana","Nome Concentração Urbana","Tipo Concentração Urbana","Código Arranjo Populacional","Nome Arranjo Populacional","Hierarquia Urbana","Hierarquia Urbana (principais categorias)","Código da Região Rural","Nome da Região Rural","Região rural (segundo classificação do núcleo)","Amazônia Legal","Semiárido","Cidade-Região de São Paulo","Valor adicionado bruto da Agropecuária a preços correntes(R$ 1.000)","Valor adicionado bruto da Indústria a preços correntes (R$ 1.000)","Valor adicionado bruto dos Serviços a preços correntes - exceto Administração em defesa educação e saúde públicas e seguridade social (R$ 1.000)","Valor adicionado bruto da Administração, defesa, educação e saúde públicas e seguridade social a preços correntes (R$ 1.000)","Valor adicionado bruto total a preços correntes (R$ 1.000)","Impostos, líquidos de subsídios, sobre produtos a preços correntes (R$ 1.000)","Produto Interno Bruto a preços correntes (R$ 1.000)","Produto Interno Bruto per capita a preços correntes (R$ 1,00)","Atividade com maior valor adicionado bruto","Atividade com segundo maior valor adicionado bruto","Atividade com terceiro maior valor adicionado bruto"


"2002","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  2,586 ","  1,442 ","  7,250 ","  8,056 ","  19,333 ","  1,681 ","  21,013 ","  2,786.54 "
"2003","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,444 ","  2,188 ","  9,004 ","  8,428 ","  23,064 ","  2,247 ","  25,311 ","  3,337.03 "
"2004","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  4,005 ","  2,326 ","  9,438 ","  9,111 ","  24,879 ","  2,435 ","  27,314 ","  3,580.23 "
"2005","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,842 ","  2,797 ","  10,582 ","  10,051 ","  27,271 ","  2,924 ","  30,195 ","  3,935.27 "
"2006","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,548 ","  2,635 ","  9,644 ","  11,168 ","  26,995 ","  2,095 ","  29,090 ","  3,769.58 "
"2007","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  3,967 ","  3,450 ","  9,271 ","  12,545 ","  29,232 ","  1,894 ","  31,126 ","  4,283.19 "
"2008","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,067 ","  4,338 ","  11,856 ","  15,387 ","  37,647 ","  2,606 ","  40,253 ","  5,387.18 "
"2009","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  7,447 ","  4,587 ","  12,268 ","  15,937 ","  40,238 ","  1,761 ","  41,999 ","  5,622.40 "
"2010","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,040 ","  18,340 ","  15,781 ","  19,201 ","  59,362 ","  2,266 ","  61,628 ","  8,177.87 ","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias extrativas","Demais serviços"
"2011","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  22,310 ","  31,532 ","  23,276 ","  22,022 ","  99,140 ","  3,222 ","  102,362 ","  13,566.80 ","Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços"
"2012","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  16,637 ","  27,902 ","  25,426 ","  24,939 ","  94,905 ","  3,891 ","  98,796 ","  13,080.31 ","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias extrativas","Demais serviços"
"2013","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  15,822 ","  28,573 ","  28,809 ","  29,938 ","  103,142 ","  3,936 ","  107,079 ","  13,747.40 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Indústrias extrativas"
"2014","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  21,653 ","  35,817 ","  32,464 ","  32,072 ","  122,005 ","  6,822 ","  128,828 ","  16,510.01 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Indústrias extrativas"
"2015","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  20,073 ","  21,432 ","  31,883 ","  36,911 ","  110,299 ","  6,958 ","  117,257 ","  15,002.14 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2016","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  25,494 ","  21,687 ","  35,451 ","  43,497 ","  126,130 ","  6,916 ","  133,045 ","  16,993.90 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Agricultura, inclusive apoio à agricultura e a pós colheita"
"2017","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  13,386 ","  40,973 ","  41,125 ","  44,466 ","  139,950 ","  6,473 ","  146,423 ","  18,674.03 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Indústrias extrativas"
"2018","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  14,710 ","  43,797 ","  43,446 ","  43,996 ","  145,949 ","  6,308 ","  152,257 ","  19,748.01 ","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Indústrias extrativas"
"2019","3","Sudeste","31","MG","Minas Gerais","3106408","Belo Vale","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31032","Itaguara","310038","Conselheiro Lafaiete","do Entorno","3107","Barbacena","do Entorno","","","","","","Centro Local","Centro Local","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  17,362 ","  63,197 ","  51,778 ","  49,607 ","  181,944 ","  6,005 ","  187,949 ","  24,361.53 ","Indústrias extrativas","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços"

"2002","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  5,768 ","  2,102,405 ","  1,879,195 ","  466,416 ","  4,453,784 ","  2,341,775 ","  6,795,559 ","  19,659.61 "
"2003","3","Sudeste","31","MG","Minas Gerais","3106705","Betim","Região Metropolitana de Belo Horizonte","3107","Metropolitana de Belo Horizonte","31030","Belo Horizonte","310001","Belo Horizonte","do Entorno","3101","Belo Horizonte","do Entorno","3106200","Belo Horizonte/MG","Grande concentração urbana","3106200","Belo Horizonte/MG","Integrante de Metrópole","Metrópole","3108","Região Rural da Metrópole de Belo Horizonte","Região Rural de Metrópole","Não","Não","Não","  6,379 ","  3,405,731 ","  2,289,163 ","  510,718 ","  6,211,992 ","  2,577,322 ","  8,789,314 ","  24,347.60 "
